Sr.NO,Name ,Inwards Qty,Outwards Qty,Net Movement,Stock Turnover Rate
1,BLUECOAT - WP1 - 1 KG,0.0,9.0,-9.0,9000000000.0
2,Bluefix Epoxy Adhesive Tez (180gm),0.0,1.0,-1.0,999999999.9999999
3,BONDTITE-FAST & CLEAR-13GM,0.0,1.0,-1.0,999999999.9999999
4,ASTRON-ALDROP-3MM-SS,20.0,14.0,6.0,0.699999999965
5,SHANTI-ALDROP-20-20-3MM-14X10-SS,0.0,12.0,-12.0,12000000000.0
6,"SUZON-ALDROP-FANCY-10""-SS",0.0,2.0,-2.0,1999999999.9999998
7,BED FITTING,26.0,25.0,1.0,0.9615384615014793
8,EBCO-BED FITTING-2.5FT,0.0,2.0,-2.0,1999999999.9999998
9,PLBF-EF-E (AT) BED LIFT FITTING EASY CP 5 FT.,8.0,7.0,1.0,0.874999999890625
10,BUFFER,0.0,90.0,-90.0,90000000000.0
11,"BUFFER-PVC-1""",0.0,8.0,-8.0,7999999999.999999
12,"BUFFER-PVC-3/4""",0.0,4.0,-4.0,3999999999.9999995
13,"DEVANSH-BUFFER-PVC-12MM-(1/2"")-WHITE",0.0,78.0,-78.0,78000000000.0
14,CABLE MANAGER,0.0,9.0,-9.0,9000000000.0
15,CHAIN,0.0,70.0,-70.0,70000000000.0
16,ASSURE-DOOR CHAIN-SEQURITY CHAIN,0.0,1.0,-1.0,999999999.9999999
17,"SHANTI-TABLE CHAIN-HY 6""",0.0,24.0,-24.0,24000000000.0
18,"SHANTI-T.CHAIN-10""-SS",0.0,-1.0,1.0,-999999999.9999999
19,"SHANTI-T.CHAIN-8""-SS",0.0,46.0,-46.0,46000000000.0
20,DOOR CLOSER,4.0,2.0,2.0,0.499999999875
21,DOOR EYE VIEWER,0.0,1.0,-1.0,999999999.9999999
22,"DOOR EYE VIEWER-2""HEXAGON",0.0,1.0,-1.0,999999999.9999999
23,DOOR KIT,10.0,0.0,10.0,0.0
24,SHANTI-DOOR KIT-3MM-LEHAR,0.0,1.0,-1.0,999999999.9999999
25,SHANTI-SPL-DOOR KIT-20-20-3MM,0.0,2.0,-2.0,1999999999.9999998
26,DOOR STOPER,0.0,4.0,-4.0,3999999999.9999995
27,"FLORA - DOOR STOPPER - FLA - 5""",0.0,1.0,-1.0,999999999.9999999
28,"FLORA - PRINCE DOOR STOPPER - FLA - 6""",0.0,3.0,-3.0,3000000000.0
29,FASNER,10.0,4.94,5.06,0.4939999999506
30,FASNER-12MM-PLY JOINT PIN,10.0,4.69,5.31,0.46899999995310004
31,FASNER -19 MM - PLY JOINT PIN,0.0,0.25,-0.25,249999999.99999997
32,GAS PUMP,23.0,41.0,-18.0,1.7826086955746692
33,"ALICO-GAS PUMP-35KG-12""",0.0,-1.0,1.0,-999999999.9999999
34,EBCO GAS PUMP HEAVY DUTY 25 KG,0.0,4.0,-4.0,3999999999.9999995
35,EBCO-GAS PUMP PLBF-120KG,0.0,3.0,-3.0,3000000000.0
36,EBCO-GAS PUMP-PLBF-150KG,13.0,15.0,-2.0,1.1538461537573965
37,EBCO-GAS PUMP-PLBF-200KG,0.0,2.0,-2.0,1999999999.9999998
38,"EBCO-GAS PUMP-PLC-10-10KG-9""",0.0,7.0,-7.0,7000000000.0
39,EBCO-GAS PUMP-PLC-15-15KG,0.0,2.0,-2.0,1999999999.9999998
40,"EBCO-GAS PUMP-PLC-20-20KG-9""",5.0,4.0,1.0,0.79999999984
41,GRILL,0.0,1.0,-1.0,999999999.9999999
42,HANDLE,61.0,219.0,-158.0,3.5901639343673746
43,HANGER,1.0,18.0,-17.0,17.999999982
44,Auto Hinges Heavy Soft Close Full,50.0,25.0,25.0,0.49999999999000005
45,CHERRY-AUTO HINGES-HALF OVERLAY-REGULAR,0.0,27.0,-27.0,27000000000.0
46,DENIM-BUTT HINGES-4X3/4X1-SS-BRASS,20.0,24.0,-4.0,1.19999999994
47,DENIM/ECO-BUTT HINGES-3X1/2X3/4-SS-BRASS,36.0,9.0,27.0,0.24999999999305558
48,DENIM/ECO-BUTT HINGES-3X3/4X3/4-SS-BRASS,0.0,6.0,-6.0,6000000000.0
49,DENIM/ECO-BUTT HINGES-4X1/2X3/4-SS-BRASS,36.0,30.0,6.0,0.8333333333101852
50,DENIM/ECO-BUTT HINGES-4X1X1-SS-BRASS,0.0,-3.0,3.0,-3000000000.0
51,DENIM/ECO-BUTT HINGES-4X3/4X3/4-SS-BRASS,18.0,58.0,-40.0,3.22222222204321
52,DENIM/ECO-BUTT HINGES-4X3/8X5/8-SS-BRASS,0.0,10.0,-10.0,10000000000.0
53,DENIM/ECO-L-HINGES-3X1/2X12MM-SS-BRASS,0.0,10.0,-10.0,10000000000.0
54,DENIM/ECO-L-HINGES-3X1/2X19MM-SS-BRASS,0.0,31.0,-31.0,30999999999.999996
55,DENIM/ECO-L-HINGES-3X1/2X6MM-SS-BRASS,8.0,14.0,-6.0,1.74999999978125
56,DENIM/ECO-L-HINGES-3X3/4X12MM-SS-BRASS,0.0,10.0,-10.0,10000000000.0
